Requirement,Ground Truth,Response
"{'as a semaphore is broken and a semaphore is green, in the future the engine stops or a train stops'}",G((semaphore_is_broken & semaphore_is_green) -> F(engine_stops | train_stops)),(semaphore_is_broken & semaphore_is_green) -> F(engine_stops | train_stops)
"{'If record the person on west_2nd_avenue holds and change light_south green holds next, then photo the jaywalker on north_2nd_street holds in the step after that.'}","G((""record(person,west_2nd_avenue)"" & X""change(light_south,green)"") -> XX""photo(jaywalker,north_2nd_street)"")","( ""record(person,west_2nd_avenue)"" & X ""change(light_south,green)"" ) -> XX ""photo(jaywalker,north_2nd_street)"""
"{'after either the sensor retrieves data or a car enters, in the future a semaphore is red and a car enters'}",G((car_enters | sensor_retrieves_data) -> F(car_enters & semaphore_is_red)),F((sensor_retrieves_data | car_enters) & F(semaphore_is_red & car_enters))
"{'Globally , during the interval that ( prop_2 ) and ( prop_3 ) then all of the following conditions hold : the event that ( prop_4 ) occurs starting without any delay , and ( prop_1 ) .'}",G((prop_2 & prop_3) -> (prop_1 & prop_4)),G((prop_2 & prop_3) -> (X prop_4 & prop_1))
"{'first, eventually, a train has been launched and the escalator is blocked, and then, finally, the table is old or the bar has to be repaired'}",G!(escalator_is_blocked & train_has_been_launched) | F(escalator_is_blocked & train_has_been_launched & F(bar_has_to_be_repaired | table_is_old)),F(train_has_been_launched & escalator_is_blocked) & F(table_is_old | bar_has_to_be_repaired)
{'it will happen that either the escalator speeds up or a semaphore is broken after either an elevator falls or the motorbike catches fire'},G((elevator_falls | motorbike_catches_fire) -> F(escalator_speeds_up | semaphore_is_broken)),F((elevator_falls | motorbike_catches_fire) -> (escalator_speeds_up | semaphore_is_broken))
{'it will happen that either the car enters or the escalator speeds up after either a train stops or the house is open'},G((house_is_open | train_stops) -> F(car_enters | escalator_speeds_up)),F((train_stops | house_is_open) -> (car_enters | escalator_speeds_up))
"{'Once communicate the safe_rescuer has occurred, deliver_aid the injured_rescuer will never occur again.'}","G(""communicate(safe_rescuer)"" -> XG!""deliver_aid(injured_rescuer)"")","G(""communicate(safe_rescuer)"" -> G !""deliver_aid(injured_rescuer)"")"
{'every time a car stops or the house collapses then it should not happen that either the train stops or the semaphore is red'},G((car_stops | house_collapses) -> G!(semaphore_is_red | train_stops)),G((car_stops | house_collapses) -> !(train_stops | semaphore_is_red))
"{'after the engine breaks or the train has arrived, sooner or later the motorbike is driven or the semaphore is green'}",G((engine_breaks | train_has_arrived) -> F(motorbike_is_driven | semaphore_is_green)),F(engine_breaks | train_has_arrived) -> F(motorbike_is_driven | semaphore_is_green)
"{'every time either the manager collect claims, the motorbike has stopped or the escalator moves'}",G(escalator_moves | manager_collect_claims | motorbike_has_stopped),G(manager_collect_claims -> (motorbike_has_stopped | escalator_moves))
"{'as both a table is old and a table has been moved, sooner or later a car enters and the constructor instantiate objects'}",G((table_has_been_moved & table_is_old) -> F(car_enters & constructor_instantiate_objects)),(table_is_old & table_has_been_moved) -> F(car_enters & constructor_instantiate_objects)
"{'It is always the case that when the scenario that ( prop_2 ) is observed , then all of the following conditions are true : the transition action that ( prop_3 ) will have to take place promptly , or at once ( prop_1 ) .'}",G(prop_2 -> (prop_1 | prop_3)),G(prop_2 -> X(prop_3 | prop_1))
"{'after both the engine starts and the engine stops, at some point in time both a house is open and the sensor retrieves data'}",G((engine_starts & engine_stops) -> F(house_is_open & sensor_retrieves_data)),F((engine_starts & engine_stops) & F(house_is_open & sensor_retrieves_data))
"{'as the manager collect claims and a bridge opens, in the future a motorbike is driven or the elevator is open'}",G((bridge_opens & manager_collect_claims) -> F(elevator_is_open | motorbike_is_driven)),(manager_collect_claims & bridge_opens) -> F (motorbike_is_driven | elevator_is_open)
"{'as either the house is open or a train is crossing, at a certain moment both the car enters and the train is crossing'}",G((house_is_open | train_is_crossing) -> F(car_enters & train_is_crossing)),(house_is_open | train_is_crossing) -> F(car_enters & train_is_crossing)
"{'Record the motorcycle on southwest_8th_street should always hold, with at most a two-step grace period for recovery.'}","!G!(""record(motorcycle,southwest_8th_street)"" & X""record(motorcycle,southwest_8th_street)"")","G(F[0,2] ""record(motorcycle,southwest_8th_street)"")"
{'at the green_room without using the yellow_room'},Fgreen_room & G!yellow_room,green_room & !yellow_room
{'travel through the green_room to the red_room'},F(green_room & Fred_room),green_room U red_room
"{'If go_home holds and get_help holds next, then record injured_rescuer holds in the step after that.'}","G((go_home & Xget_help) -> XX""record(injured_rescuer)"")","(go_home & X get_help) -> XX ""record(injured_rescuer)"""
"{'sooner or later a constructor creates instances or a table is old and, eventually, a constructor creates instances or the motorbike is driven afterwards'}",G!(constructor_creates_instances | table_is_old) | F((constructor_creates_instances | table_is_old) & F(constructor_creates_instances | motorbike_is_driven)),F(constructor_creates_instances | (table_is_old & F(constructor_creates_instances | X motorbike_is_driven)))
"{'first, sooner or later both a train derails and the train is crossing, and then, sooner or later both the escalator is blocked and the sensor captures data'}",G!(train_derails & train_is_crossing) | F(train_derails & train_is_crossing & F(escalator_is_blocked & sensor_captures_data)),F(train_derails & train_is_crossing) & F(F(escalator_is_blocked & sensor_captures_data))
"{'as either the motorbike falls down or the elevator rises, at some point the bar has to be repaired or the engine breaks'}",G((elevator_rises | motorbike_falls_down) -> F(bar_has_to_be_repaired | engine_breaks)),(motorbike_falls_down | elevator_rises) -> F(bar_has_to_be_repaired | engine_breaks)
"{'it should not happen that the bar is closing and, at the same time, the bar is down and the elevator is blocked'}",G!(bar_is_closing & bar_is_down & elevator_is_blocked),!(bar_is_closing & bar_is_down & elevator_is_blocked)
"{'as the engine starts or the bar has to be repaired, at some point in time the motorbike has stopped or the elevator falls'}",G((bar_has_to_be_repaired | engine_starts) -> F(elevator_falls | motorbike_has_stopped)),(engine_starts | bar_has_to_be_repaired) -> F(motorbike_has_stopped | elevator_falls)
"{'it will happen that both the house collapses and a house is open and, sooner or later both the escalator moves and a car starts afterwards'}",G!(house_collapses & house_is_open) | F(house_collapses & house_is_open & F(car_starts & escalator_moves)),F((house_collapses & house_is_open) & F(escalator_moves & X car_starts))
{'always when both the engine stops and a sensor captures data then it will happen that either the engine breaks or the bar is closing'},G((engine_stops & sensor_captures_data) -> F(bar_is_closing | engine_breaks)),G((engine_stops & sensor_captures_data) -> (engine_breaks | bar_is_closing))
"{'Globally , in case that the transition action that ( prop_3 ) does not occur or ( prop_2 ) then the following condition holds : for every time point in the future till the execution ends , at a certain time point in the future before the end of the simulation , ( prop_1 ) .'}",G((prop_2 | prop_3) -> GFprop_1),G((!prop_3 | prop_2) -> G F prop_1)
"{'first, sooner or later the engine stops and a sensor gathers information, and then, sooner or later both the bar is closing and the elevator is blocked'}",G!(engine_stops & sensor_gathers_information) | F(engine_stops & sensor_gathers_information & F(bar_is_closing & elevator_is_blocked)),F(engine_stops & sensor_gathers_information) & F(F(bar_is_closing & elevator_is_blocked))
"{'after a table has been moved and the elevator is blocked, it will happen that the manager handles requests or the constructor instantiate objects'}",G((elevator_is_blocked & table_has_been_moved) -> F(constructor_instantiate_objects | manager_handles_requests)),(table_has_been_moved & elevator_is_blocked) -> F (manager_handles_requests | constructor_instantiate_objects)
"{'in any case the brake is released, a motorbike has started and a semaphore is red'}",G(brake_is_released & motorbike_has_started & semaphore_is_red),G(brake_is_released -> (motorbike_has_started & semaphore_is_red))
"{'each time a sensor retrieves data then as the bar has to be repaired, at some point in time a motorbike catches fire'}",G(sensor_retrieves_data -> G(bar_has_to_be_repaired -> Fmotorbike_catches_fire)),G((sensor_retrieves_data & bar_has_to_be_repaired) -> F motorbike_catches_fire)
"{'first, sooner or later either the bar is up or the elevator is open, and then, eventually, the escalator is blocked and a sensor captures data'}",G!(bar_is_up | elevator_is_open) | F((bar_is_up | elevator_is_open) & F(escalator_is_blocked & sensor_captures_data)),F(bar_is_up | elevator_is_open) & F(escalator_is_blocked & sensor_captures_data)
{'always when the elevator rises and the train is crossing then it will happen that both the bar is down and the brake is released'},G((elevator_rises & train_is_crossing) -> F(bar_is_down & brake_is_released)),G((elevator_rises & train_is_crossing) -> (bar_is_down & brake_is_released))
"{'Locate the aeroplane should always hold, with at most a two-step grace period for recovery.'}","!G!(""search(aeroplane)"" & X""search(aeroplane)"")","G(F[0,2] ""search(aeroplane)"")"
{'go through the yellow or red_room into the blue_room'},F((red_room | yellow_room) & Fblue_room),((yellow_room | red_room) U blue_room)
"{'If search the aeroplane holds, then in the next step search the wine_glass persists until calling for help holds, or else search the wine_glass holds forever.'}","""search(aeroplane)"" -> X((""search(wine_glass)"" U get_help) | G""search(wine_glass)"")","(""search(aeroplane)"") -> (X(""search(wine_glass)"" U get_help) | G(""search(wine_glass)""))"
{'at some point in time both a semaphore is yellow and the bar is up after both the constructor creates instances and the escalator moves'},G((constructor_creates_instances & escalator_moves) -> F(bar_is_up & semaphore_is_yellow)),F((constructor_creates_instances & escalator_moves) -> (semaphore_is_yellow & bar_is_up))
"{'after either an elevator falls or the bar is closing, it will happen that either the house collapses or a semaphore is red'}",G((bar_is_closing | elevator_falls) -> F(house_collapses | semaphore_is_red)),F((elevator_falls | bar_is_closing) -> F(house_collapses | semaphore_is_red))
{'In the case ( prop_2 ) and ( prop_1 ) then in response at the same time ( prop_3 ) .'},G((prop_1 & prop_2) -> prop_3),(prop_2 & prop_1) -> prop_3
"{'after the semaphore is green or a motorbike falls down, at no time the engine starts and the semaphore is broken'}",G((motorbike_falls_down | semaphore_is_green) -> G!(engine_starts & semaphore_is_broken)),F(semaphore_is_green | motorbike_falls_down) -> G(!(engine_starts & semaphore_is_broken))
"{'Globally , in case that the scenario that ( prop_2 ) occurs , then the following condition is true : ( prop_1 ) and the scenario that ( prop_3 ) ought to happen at once .'}",G(prop_2 -> (prop_1 & prop_3)),G(prop_2 -> (prop_1 & X prop_3))
"{'as both the brake is released and a constructor creates instances, at a certain moment the car enters or the escalator speeds up'}",G((brake_is_released & constructor_creates_instances) -> F(car_enters | escalator_speeds_up)),(brake_is_released & constructor_creates_instances) -> F (car_enters | escalator_speeds_up)
"{'it will not happen that either the train derails, the car starts or the brake is released'}",G!(brake_is_released | car_starts | train_derails),!(train_derails | car_starts | brake_is_released)
"{'As soon as the transition action that ( prop_2 ) gets detected , or ( prop_1 ) then all of the following conditions hold : ( prop_3 ) .'}",G((prop_1 | prop_2) -> prop_3),G((prop_2 | prop_1) -> G(prop_3))
{'at the red_room and do not use the green_room'},Fred_room & G!green_room,red_room & !green_room
{'it should not happen that the train is crossing or the car enters or a semaphore is red'},G!(car_enters | semaphore_is_red | train_is_crossing),!(train_is_crossing | car_enters | semaphore_is_red)
"{'sooner or later either a semaphore is green or the bar is up and, finally, either the car stops or the brake is released afterwards'}",G!(bar_is_up | semaphore_is_green) | F((bar_is_up | semaphore_is_green) & F(brake_is_released | car_stops)),F(semaphore_is_green | bar_is_up) & F(car_stops | X brake_is_released)
"{'a house is built implies that if a semaphore is red then finally, the engine starts'}",G(house_is_built -> G(semaphore_is_red -> Fengine_starts)),house_is_built -> (semaphore_is_red -> F engine_starts)
{'if the constructor instantiate objects and the elevator rises then at some point in time both the escalator is blocked and the manager collect claims'},G((constructor_instantiate_objects & elevator_rises) -> F(escalator_is_blocked & manager_collect_claims)),(constructor_instantiate_objects & elevator_rises) -> F(escalator_is_blocked & manager_collect_claims)
"{'as a train derails or the semaphore is red, at some point both the engine starts and a semaphore is broken'}",G((semaphore_is_red | train_derails) -> F(engine_starts & semaphore_is_broken)),(train_derails | semaphore_is_red) -> F(engine_starts & semaphore_is_broken)
"{'If the event that ( prop_2 ) gets observed , then in response at once ( prop_1 ) or at once ( prop_3 ) .'}",G(prop_2 -> (prop_1 | prop_3)),G(prop_2 -> X(prop_1 | prop_3))
"{'an elevator rises and, as a consequence, if a table is old then at a certain moment a table is brown'}",G(elevator_rises -> G(table_is_old -> Ftable_is_brown)),elevator_rises & (table_is_old -> F table_is_brown)
"{'Globally , during the interval that ( prop_3 ) , or ( prop_2 ) , then the following condition holds : instantly ( prop_1 ) .'}",G((prop_2 | prop_3) -> prop_1),G((prop_3 | prop_2) -> X prop_1)
{'at a certain moment the semaphore is green and the bridge opens after both the constructor instantiate objects and the elevator rises'},G((constructor_instantiate_objects & elevator_rises) -> F(bridge_opens & semaphore_is_green)),F(semaphore_is_green & F((constructor_instantiate_objects & elevator_rises) -> X bridge_opens))
"{'in the future both the sensor gathers information and the motorbike catches fire and, at a certain moment the train stops and an elevator is blocked afterwards'}",G!(motorbike_catches_fire & sensor_gathers_information) | F(motorbike_catches_fire & sensor_gathers_information & F(elevator_is_blocked & train_stops)),F(sensor_gathers_information & motorbike_catches_fire) & F(train_stops & F elevator_is_blocked)
"{'It is always the case that everytime when the transition action that ( prop_2 ) , or ( prop_1 ) then the following condition holds : ( prop_3 ) .'}",G((prop_1 | prop_2) -> prop_3),G((prop_2 | prop_1) -> X prop_3)
"{'as either an elevator falls or the bar is closing, at some point in time a train has been launched and the semaphore is red'}",G((bar_is_closing | elevator_falls) -> F(semaphore_is_red & train_has_been_launched)),(elevator_falls | bar_is_closing) -> F(train_has_been_launched & semaphore_is_red)
"{'as either the semaphore is yellow or the engine stops, at some point in time both the brake is pressed and the motorbike catches fire'}",G((engine_stops | semaphore_is_yellow) -> F(brake_is_pressed & motorbike_catches_fire)),(semaphore_is_yellow | engine_stops) -> F(brake_is_pressed & motorbike_catches_fire)
"{'first, at a certain moment a bridge closes and the elevator falls, and then, at a certain moment either a sensor captures data or a sensor gathers information'}",G!(bridge_closes & elevator_falls) | F(bridge_closes & elevator_falls & F(sensor_captures_data | sensor_gathers_information)),F((bridge_closes & elevator_falls) & F(sensor_captures_data | sensor_gathers_information))
{'only go through the blue or yellow to get to the green'},F((blue_room | yellow_room) & Fgreen_room),(!green_room U (blue_room | yellow_room))
"{'as either the engine breaks or the train has arrived, in the future the brake is released or the engine breaks'}",G((engine_breaks | train_has_arrived) -> F(brake_is_released | engine_breaks)),(engine_breaks | train_has_arrived) -> F (brake_is_released | engine_breaks)
{'if the engine stops and a sensor gathers information then at a certain moment both the engine breaks and a motorbike is driven'},G((engine_stops & sensor_gathers_information) -> F(engine_breaks & motorbike_is_driven)),(engine_stops & sensor_gathers_information) -> F(engine_breaks & motorbike_is_driven)
"{'first, at some point in time either the manager collect claims or a constructor creates instances, and then, eventually, the bridge closes'}",G!(constructor_creates_instances | manager_collect_claims) | F((constructor_creates_instances | manager_collect_claims) & Fbridge_closes),F((manager_collect_claims | constructor_creates_instances) & F bridge_closes)
{'it will happen that either a semaphore is red or a car starts after both an elevator is blocked and the bar is closing'},G((bar_is_closing & elevator_is_blocked) -> F(car_starts | semaphore_is_red)),F(semaphore_is_red | (elevator_is_blocked & bar_is_closing -> car_starts))
"{'it will happen that both the house is open and an elevator rises and, it is going to happen that either the engine breaks or a manager handles requests afterwards'}",G!(elevator_rises & house_is_open) | F(elevator_rises & house_is_open & F(engine_breaks | manager_handles_requests)),F(house_is_open & elevator_rises) & F(engine_breaks | X manager_handles_requests)
"{'Whenever get_help and photo injured_rescuer are equal, photo injured_rescuer and deliver_aid the injured_rescuer are equal as well.'}","G((get_help <-> ""photo(injured_rescuer)"") -> (""deliver_aid(injured_rescuer)"" <-> ""photo(injured_rescuer)""))","G((""photo(injured_rescuer)"" & ""get_help"") -> (""photo(injured_rescuer)"" & ""deliver_aid(injured_rescuer)""))"
"{'first, at a certain moment the train has arrived and the brake is pressed, and then, it is going to happen that the elevator falls and a manager collect claims'}",G!(brake_is_pressed & train_has_arrived) | F(brake_is_pressed & train_has_arrived & F(elevator_falls & manager_collect_claims)),F(train_has_arrived & brake_is_pressed) & F(F(elevator_falls & manager_collect_claims))
{'Whenever ( prop_3 ) or the event that ( prop_2 ) gets detected then all of the following conditions are true : right away ( prop_1 ) .'},G((prop_2 | prop_3) -> prop_1),G((prop_3 | prop_2) -> X prop_1)
{'at the yellow_room and do not use the green_room'},Fyellow_room & G!green_room,yellow_room & !green_room
{'when a constructor instantiate objects then if a semaphore is green then in the future the elevator is blocked afterwards'},G(constructor_instantiate_objects -> G(semaphore_is_green -> Felevator_is_blocked)),G(constructor_instantiate_objects -> (semaphore_is_green -> F elevator_is_blocked))
{'it will happen that the motorbike falls down and the escalator speeds up after either the escalator speeds up or the bar has to be repaired'},G((bar_has_to_be_repaired | escalator_speeds_up) -> F(escalator_speeds_up & motorbike_falls_down)),F((escalator_speeds_up | bar_has_to_be_repaired) -> X(motorbike_falls_down & escalator_speeds_up))
"{'If deliver the umbrella to the shelf holds, then in the next step idle persists until searching the oven holds, or else idle holds forever.'}","""deliver(umbrella,shelf)"" -> X((idle U ""search(oven)"") | Gidle)","(""deliver(umbrella,shelf)"") -> (X (idle U ""search(oven)"") | G idle)"
"{'a train stops and, as a consequence, every time the house is built then at a certain moment the semaphore is yellow'}",G(train_stops -> G(house_is_built -> Fsemaphore_is_yellow)),train_stops & G(house_is_built -> F semaphore_is_yellow)
"{'at a certain moment a constructor instantiate objects and an elevator rises and, at some point in time a table is brown or a motorbike has started afterwards'}",G!(constructor_instantiate_objects & elevator_rises) | F(constructor_instantiate_objects & elevator_rises & F(motorbike_has_started | table_is_brown)),F(constructor_instantiate_objects & elevator_rises) & F(table_is_brown | F motorbike_has_started)
{'a house is built implies that always when a table is old then it is going to happen that the elevator is blocked'},G(house_is_built -> G(table_is_old -> Felevator_is_blocked)),house_is_built -> G(table_is_old -> F elevator_is_blocked)
{'at a certain moment the bar is down or a manager collect claims after the escalator speeds up and the bar is up'},G((bar_is_up & escalator_speeds_up) -> F(bar_is_down | manager_collect_claims)),F(bar_is_down | (escalator_speeds_up & bar_is_up) -> manager_collect_claims)
{'(prop_1) and then (prop_2).'},prop_1 U prop_2,prop_1 & FX prop_2
"{'after either the house is open or a table is old, sooner or later the brake is released and the escalator is blocked'}",G((house_is_open | table_is_old) -> F(brake_is_released & escalator_is_blocked)),F((house_is_open | table_is_old) -> F(brake_is_released & escalator_is_blocked))
{'it is going to happen that either a sensor gathers information or a table has been moved after the bar is up and the car stops'},G((bar_is_up & car_stops) -> F(sensor_gathers_information | table_has_been_moved)),F((bar_is_up & car_stops) -> (sensor_gathers_information | table_has_been_moved))
{'if the manager collect claims and a train is crossing then at some point either a motorbike has started or the bar is down'},G((manager_collect_claims & train_is_crossing) -> F(bar_is_down | motorbike_has_started)),(manager_collect_claims & train_is_crossing) -> F(motorbike_has_started | bar_is_down)
{'walk through the blue_room until you reach the yellow_room'},F(blue_room & Fyellow_room),blue_room U yellow_room
"{'as the engine starts or the bar has to be repaired, it will happen that either the bridge closes or a semaphore is green'}",G((bar_has_to_be_repaired | engine_starts) -> F(bridge_closes | semaphore_is_green)),(engine_starts | bar_has_to_be_repaired) -> F(bridge_closes | semaphore_is_green)
{'It is always the case that if ( prop_3 ) and the scenario that ( prop_2 ) gets observed then all of the following conditions hold : the transition action that ( prop_1 ) needs to occur right away .'},G((prop_2 & prop_3) -> prop_1),G((prop_3 & prop_2) -> X prop_1)
"{'after both the bar has to be repaired and a manager collect claims, finally, either the bar is down or the semaphore is yellow'}",G((bar_has_to_be_repaired & manager_collect_claims) -> F(bar_is_down | semaphore_is_yellow)),F((bar_has_to_be_repaired & manager_collect_claims) -> F(bar_is_down | semaphore_is_yellow))
{'if the semaphore is green and the elevator is blocked then at some point in time both a table is old and a constructor creates instances'},G((elevator_is_blocked & semaphore_is_green) -> F(constructor_creates_instances & table_is_old)),(semaphore_is_green & elevator_is_blocked) -> F(table_is_old & constructor_creates_instances)
"{'it is going to happen that the house is built or a bridge opens and, eventually, both the bridge closes and an elevator falls afterwards'}",G!(bridge_opens | house_is_built) | F((bridge_opens | house_is_built) & F(bridge_closes & elevator_falls)),F(house_is_built | bridge_opens) & F(bridge_closes & X elevator_falls)
{'at the green_room without passing through the red_room'},Fgreen_room & G!red_room,green_room & (!red_room U green_room)
{'in the future both a train derails and the brake is released after either the car starts or a train derails'},G((car_starts | train_derails) -> F(brake_is_released & train_derails)),F((car_starts | train_derails) -> F(train_derails & brake_is_released))
"{'as both the elevator rises and a motorbike falls down, at a certain moment the semaphore is green and an elevator is blocked'}",G((elevator_rises & motorbike_falls_down) -> F(elevator_is_blocked & semaphore_is_green)),(elevator_rises & motorbike_falls_down) -> F(semaphore_is_green & elevator_is_blocked)
"{'If photo the motorcycle on east_10th_avenue holds, then in the next step record the vehicle on northeast_2nd_avenue persists until geting help holds, or else record the vehicle on northeast_2nd_avenue holds forever.'}","""photo(motorcycle,east_10th_avenue)"" -> X((""record(vehicle,northeast_2nd_avenue)"" U get_help) | G""record(vehicle,northeast_2nd_avenue)"")","(""photo(motorcycle,east_10th_avenue)"") -> (X(""record(vehicle,northeast_2nd_avenue)"" U get_help) | G(""record(vehicle,northeast_2nd_avenue)""))"
"{'first, at some point in time an elevator falls and the manager collect claims, and then, it is going to happen that both the engine stops and a sensor gathers information'}",G!(elevator_falls & manager_collect_claims) | F(elevator_falls & manager_collect_claims & F(engine_stops & sensor_gathers_information)),F((elevator_falls & manager_collect_claims) & F(engine_stops & sensor_gathers_information))
"{""In case that ( prop_2 ) , or ( prop_3 ) then all of the following conditions are true : the event that ( prop_1 ) ought n't to get observed .""}",G((prop_2 | prop_3) -> prop_1),(prop_2 | prop_3) -> !prop_1
{'at some point the table is brown and the escalator speeds up after a car enters and a table is old'},G((car_enters & table_is_old) -> F(escalator_speeds_up & table_is_brown)),F(table_is_brown & ( (car_enters & table_is_old) -> X escalator_speeds_up ))
"{'Until (prop_3) or (prop_2), keep (prop_1) not happening .'}",!prop_3 U (prop_1 | prop_2),(!prop_1) U (prop_3 | prop_2)
{'at any time ( prop_1 ) or whenever ( prop_2 )'},F(prop_1 | Fprop_2),G(prop_1 | prop_2)
{'at some point in time a train has arrived and the train is crossing after a manager handles requests and the bar is down'},G((bar_is_down & manager_handles_requests) -> F(train_has_arrived & train_is_crossing)),F(train_has_arrived & F((manager_handles_requests & bar_is_down) & F(train_is_crossing)))
"{'after the bar is down or a constructor instantiate objects, eventually, either the bar is closing or the bridge closes'}",G((bar_is_down | constructor_instantiate_objects) -> F(bar_is_closing | bridge_closes)),F((bar_is_down | constructor_instantiate_objects) -> F(bar_is_closing | bridge_closes))
{'the car enters implies that every time the elevator is blocked then at some point a sensor retrieves data'},G(car_enters -> G(elevator_is_blocked -> Fsensor_retrieves_data)),car_enters -> G(elevator_is_blocked -> F sensor_retrieves_data)
"{'after both an elevator is blocked and a car starts, absolutely never, the house collapses and the semaphore is red'}",G((car_starts & elevator_is_blocked) -> G!(house_collapses & semaphore_is_red)),F((elevator_is_blocked & car_starts) & G(!(house_collapses & semaphore_is_red)))
"{'when a table is brown then finally, a car enters after the motorbike has stopped afterwards'}",G(table_is_brown -> G(motorbike_has_stopped -> Fcar_enters)),G(table_is_brown -> F(motorbike_has_stopped & F car_enters))
"{'after the car starts and the table is brown, in the future the brake is pressed and the house is built'}",G((car_starts & table_is_brown) -> F(brake_is_pressed & house_is_built)),(car_starts & table_is_brown) -> F (brake_is_pressed & house_is_built)
"{'first, finally, the engine breaks or a manager handles requests, and then, it will happen that either a sensor retrieves data or a manager collect claims'}",G!(engine_breaks | manager_handles_requests) | F((engine_breaks | manager_handles_requests) & F(manager_collect_claims | sensor_retrieves_data)),F((engine_breaks | manager_handles_requests) & F(sensor_retrieves_data | manager_collect_claims))
"{'at any time the escalator is blocked, the bar is up and the brake is pressed'}",G(bar_is_up & brake_is_pressed & escalator_is_blocked),G(escalator_is_blocked -> (bar_is_up & brake_is_pressed))
"{'In the case the scenario that ( prop_3 ) takes place , then the following condition holds : ( prop_2 ) , and right away ( prop_1 ) .'}",G(prop_3 -> (prop_1 & prop_2)),G(prop_3 -> (prop_2 & X prop_1))
"{'If (prop_2) does not happen, then both (prop_1) and (prop_3) should always happen.'}",!prop_2 -> (prop_3 & Gprop_1),!prop_2 -> G(prop_1 & prop_3)
"{'It is equivalent to have a scenario in which ( prop_2 ) is not the case and ( prop_1 ) is , or to have ( prop_3 ) .'}",prop_3 <-> (prop_1 & !prop_2),((!prop_2 & prop_1) | prop_3)
{'When the scenario that ( prop_3 ) happens or ( prop_2 ) then in response ( prop_1 ) .'},G((prop_2 | prop_3) -> prop_1),G((prop_3 | prop_2) -> F prop_1)
"{'as either the bar has to be repaired or an elevator rises, at some point a table is old or the constructor instantiate objects'}",G((bar_has_to_be_repaired | elevator_rises) -> F(constructor_instantiate_objects | table_is_old)),(bar_has_to_be_repaired | elevator_rises) & F(table_is_old | constructor_instantiate_objects)
{'if either the engine breaks or the table has been moved then sooner or later both a semaphore is red and a sensor retrieves data'},G((engine_breaks | table_has_been_moved) -> F(semaphore_is_red & sensor_retrieves_data)),(engine_breaks | table_has_been_moved) -> F(semaphore_is_red & sensor_retrieves_data)
"{'the train is crossing and, as a consequence, if a sensor captures data then eventually, the bar has to be repaired'}",G(train_is_crossing -> G(sensor_captures_data -> Fbar_has_to_be_repaired)),train_is_crossing & (sensor_captures_data -> F bar_has_to_be_repaired)
"{'each time the table is brown then as the sensor captures data, in the future the elevator rises'}",G(table_is_brown -> G(sensor_captures_data -> Felevator_rises)),G((table_is_brown & sensor_captures_data) -> F elevator_rises)
"{'every time a sensor gathers information, the engine breaks and a motorbike falls down'}",G(engine_breaks & motorbike_falls_down & sensor_gathers_information),G(sensor_gathers_information -> (engine_breaks & motorbike_falls_down))
{'if both the motorbike has stopped and an elevator rises then it is going to happen that both the brake is pressed and a sensor captures data'},G((elevator_rises & motorbike_has_stopped) -> F(brake_is_pressed & sensor_captures_data)),((motorbike_has_stopped & elevator_rises) -> F (brake_is_pressed & sensor_captures_data))
"{'In the case the event that ( prop_3 ) gets observed , or the transition action that ( prop_2 ) is detected , then in response ( prop_1 ) .'}",G((prop_2 | prop_3) -> prop_1),(prop_3 | prop_2) -> prop_1
{'it is going to happen that either the bar is up or a bridge closes after the engine breaks and the constructor creates instances'},G((constructor_creates_instances & engine_breaks) -> F(bar_is_up | bridge_closes)),F((bar_is_up | ( (engine_breaks & constructor_creates_instances) -> X bridge_closes)))
"{'at some point both the constructor creates instances and the motorbike has stopped and, it will happen that either a car starts or a train derails afterwards'}",G!(constructor_creates_instances & motorbike_has_stopped) | F(constructor_creates_instances & motorbike_has_stopped & F(car_starts | train_derails)),F((constructor_creates_instances & motorbike_has_stopped) & F(car_starts | train_derails))
{'at any time ( prop_1 ) and at any time ( prop_2 )'},F(prop_1 & Fprop_2),G prop_1 & G prop_2
{'at some point either the brake is released or the train is crossing after both the car starts and the engine stops'},G((car_starts & engine_stops) -> F(brake_is_released | train_is_crossing)),F((brake_is_released | train_is_crossing) & (car_starts & engine_stops))
"{'at any time the engine breaks, the escalator speeds up and the train derails'}",G(engine_breaks & escalator_speeds_up & train_derails),G(engine_breaks -> (escalator_speeds_up & train_derails))
{'at any time ( prop_1 ) or ( prop_2 )'},F(prop_1 | prop_2),G(prop_1 | prop_2)
"{'after either the escalator moves or the table is old, it is never the case that the car stops and the engine stops'}",G((escalator_moves | table_is_old) -> G!(car_stops & engine_stops)),F(escalator_moves | table_is_old) -> G(!(car_stops & engine_stops))
"{'if both the engine stops and the sensor captures data then eventually, the house is open or the constructor instantiate objects'}",G((engine_stops & sensor_captures_data) -> F(constructor_instantiate_objects | house_is_open)),((engine_stops & sensor_captures_data) -> F (house_is_open | constructor_instantiate_objects))
"{'eventually, a motorbike has stopped or the engine breaks after a house is built or the motorbike falls down'}",G((house_is_built | motorbike_falls_down) -> F(engine_breaks | motorbike_has_stopped)),F((house_is_built | motorbike_falls_down) -> (motorbike_has_stopped | engine_breaks))
{'if either the engine stops or a house is open then at some point in time a train is crossing and the engine stops'},G((engine_stops | house_is_open) -> F(engine_stops & train_is_crossing)),(engine_stops | house_is_open) -> F(train_is_crossing & engine_stops)
