original NL;original LTL;Spot LTL;APs;ap_NL;dict_AP;AP_lifted_dict;lifted_LTL
Do not enter street 4 before reaching intersection 6 and then stay in street 4 continuously;!street_4 U intersection_6&&<>[]street_4;(!street_4 U intersection_6) & FGstreet_4;['street_4', 'intersection_6'];Do not enter street_4 before reaching intersection_6 and then stay in street_4 continuously;{'street 4': 'street_4', 'intersection 6': 'intersection_6'};{'street_4': 'ap_0', 'intersection_6': 'ap_1'};(!ap_0 U ap_1) & FGap_0
Stay away from street 4 until you arrive at intersection 6 and then proceed to and remain in street 4;!street_4 U intersection_6&&<>[]street_4;(!street_4 U intersection_6) & FGstreet_4;['street_4', 'intersection_6'];Stay away from street_4 until you arrive at intersection_6 and then proceed to and remain in street_4;{'street 4': 'street_4', 'intersection 6': 'intersection_6'};{'street_4': 'ap_0', 'intersection_6': 'ap_1'};(!ap_0 U ap_1) & FGap_0
Refrain from visiting street 4 until you have reached intersection 6, after which you must transition to and stay in street 4;!street_4 U intersection_6&&<>[]street_4;(!street_4 U intersection_6) & FGstreet_4;['street_4', 'intersection_6'];Refrain from visiting street_4 until you have reached intersection_6, after which you must transition to and stay in street_4;{'street 4': 'street_4', 'intersection 6': 'intersection_6'};{'street_4': 'ap_0', 'intersection_6': 'ap_1'};(!ap_0 U ap_1) & FGap_0
Eventually pick up box 2 from office 4 and deliver it to house 1;<>(office_4&&<>(p_box_2&&<>(house_1&&pd)));F(office_4 & F(p_box_2 & F(house_1 & pd)));['pd', 'house_1', 'office_4', 'p_box_2'];Eventually pick up p_box_2 from office_4 and deliver it to house_1;{'pd': 'pd', 'house 1': 'house_1', 'office 4': 'office_4', 'box 2': 'p_box_2'};{'pd': 'ap_0', 'house_1': 'ap_1', 'office_4': 'ap_2', 'p_box_2': 'ap_3'};F(ap_2 & F(ap_3 & F(ap_1 & ap_0)))
Ensure that box 2 is collected from office 4 and eventually delivered to house 1;<>(office_4&&<>(p_box_2&&<>(house_1&&pd)));F(office_4 & F(p_box_2 & F(house_1 & pd)));['pd', 'house_1', 'office_4', 'p_box_2'];Ensure that p_box_2 is collected from office_4 and eventually delivered to house_1;{'pd': 'pd', 'house 1': 'house_1', 'office 4': 'office_4', 'box 2': 'p_box_2'};{'pd': 'ap_0', 'house_1': 'ap_1', 'office_4': 'ap_2', 'p_box_2': 'ap_3'};F(ap_2 & F(ap_3 & F(ap_1 & ap_0)))
Retrieve box 2 from office 4 and subsequently transport it to house 1;<>(office_4&&<>(p_box_2&&<>(house_1&&pd)));F(office_4 & F(p_box_2 & F(house_1 & pd)));['pd', 'house_1', 'office_4', 'p_box_2'];Retrieve p_box_2 from office_4 and subsequently transport it to house_1;{'pd': 'pd', 'house 1': 'house_1', 'office 4': 'office_4', 'box 2': 'p_box_2'};{'pd': 'ap_0', 'house_1': 'ap_1', 'office_4': 'ap_2', 'p_box_2': 'ap_3'};F(ap_2 & F(ap_3 & F(ap_1 & ap_0)))
Start by obtaining box 2 from office 4 and make sure it is delivered to house 1 afterward;<>(office_4&&<>(p_box_2&&<>(house_1&&pd)));F(office_4 & F(p_box_2 & F(house_1 & pd)));['pd', 'house_1', 'office_4', 'p_box_2'];Start by obtaining p_box_2 from office_4 and make sure it is delivered to house_1 afterward;{'pd': 'pd', 'house 1': 'house_1', 'office 4': 'office_4', 'box 2': 'p_box_2'};{'pd': 'ap_0', 'house_1': 'ap_1', 'office_4': 'ap_2', 'p_box_2': 'ap_3'};F(ap_2 & F(ap_3 & F(ap_1 & ap_0)))
Avoid visiting landmark 5 until you reach park 5, and eventually take a photo of landmark 5;!landmark_5 U park_5&&<>(landmark_5&&photo);(!landmark_5 U park_5) & F(landmark_5 & photo);['photo', 'park_5', 'landmark_5'];Avoid visiting landmark_5 until you reach park_5, and eventually take a photo of landmark_5;{'photo': 'photo', 'park 5': 'park_5', 'landmark 5': 'landmark_5'};{'photo': 'ap_0', 'park_5': 'ap_1', 'landmark_5': 'ap_2'};(!ap_2 U ap_1) & F(ap_2 & ap_0)
Do not go to landmark 5 before reaching park 5, and ensure you eventually take a picture of landmark 5;!landmark_5 U park_5&&<>(landmark_5&&photo);(!landmark_5 U park_5) & F(landmark_5 & photo);['photo', 'park_5', 'landmark_5'];Do not go to landmark_5 before reaching park_5, and ensure you eventually take a picture of landmark_5;{'photo': 'photo', 'park 5': 'park_5', 'landmark 5': 'landmark_5'};{'photo': 'ap_0', 'park_5': 'ap_1', 'landmark_5': 'ap_2'};(!ap_2 U ap_1) & F(ap_2 & ap_0)
Stay away from landmark 5 until you arrive at park 5, but make sure to eventually photograph landmark 5;!landmark_5 U park_5&&<>(landmark_5&&photo);(!landmark_5 U park_5) & F(landmark_5 & photo);['photo', 'park_5', 'landmark_5'];Stay away from landmark_5 until you arrive at park_5, but make sure to eventually photograph landmark_5;{'photo': 'photo', 'park 5': 'park_5', 'landmark 5': 'landmark_5'};{'photo': 'ap_0', 'park_5': 'ap_1', 'landmark_5': 'ap_2'};(!ap_2 U ap_1) & F(ap_2 & ap_0)
Refrain from entering landmark 5 until you reach park 5, and then ensure you take a picture of landmark 5 at some point;!landmark_5 U park_5&&<>(landmark_5&&photo);(!landmark_5 U park_5) & F(landmark_5 & photo);['photo', 'park_5', 'landmark_5'];Refrain from entering landmark_5 until you reach park_5, and then ensure you take a picture of landmark_5 at some point;{'photo': 'photo', 'park 5': 'park_5', 'landmark 5': 'landmark_5'};{'photo': 'ap_0', 'park_5': 'ap_1', 'landmark_5': 'ap_2'};(!ap_2 U ap_1) & F(ap_2 & ap_0)
Visit park 5 first and then take a photo of monument 3;<>(park_5&&<>(monument_3&&photo));F(park_5 & F(monument_3 & photo));['photo', 'park_5', 'monument_3'];Visit park_5 first and then take a photo of monument_3;{'photo': 'photo', 'park 5': 'park_5', 'monument 3': 'monument_3'};{'photo': 'ap_0', 'park_5': 'ap_1', 'monument_3': 'ap_2'};F(ap_1 & F(ap_2 & ap_0))
Ensure you go to park 5 and afterward take a picture of monument 3;<>(park_5&&<>(monument_3&&photo));F(park_5 & F(monument_3 & photo));['photo', 'park_5', 'monument_3'];Ensure you go to park_5 and afterward take a picture of monument_3;{'photo': 'photo', 'park 5': 'park_5', 'monument 3': 'monument_3'};{'photo': 'ap_0', 'park_5': 'ap_1', 'monument_3': 'ap_2'};F(ap_1 & F(ap_2 & ap_0))
First go to park 5 and then make sure to photograph monument 3;<>(park_5&&<>(monument_3&&photo));F(park_5 & F(monument_3 & photo));['photo', 'park_5', 'monument_3'];First go to park_5 and then make sure to photograph monument_3;{'photo': 'photo', 'park 5': 'park_5', 'monument 3': 'monument_3'};{'photo': 'ap_0', 'park_5': 'ap_1', 'monument_3': 'ap_2'};F(ap_1 & F(ap_2 & ap_0))
Start by reaching park 5, and then proceed to take a photo of monument 3;<>(park_5&&<>(monument_3&&photo));F(park_5 & F(monument_3 & photo));['photo', 'park_5', 'monument_3'];Start by reaching park_5, and then proceed to take a photo of monument_3;{'photo': 'photo', 'park 5': 'park_5', 'monument 3': 'monument_3'};{'photo': 'ap_0', 'park_5': 'ap_1', 'monument_3': 'ap_2'};F(ap_1 & F(ap_2 & ap_0))
Remain in county 4 and continuously transport package 4 from office 3 to office 8;[]county_4&&[]<>(office_3&&<>(p_package_4&&<>(office_8&&pd)));Gcounty_4 & GF(office_3 & F(p_package_4 & F(office_8 & pd)));['pd', 'p_package_4', 'county_4', 'office_3', 'office_8'];Remain in county_4 and continuously transport p_package_4 from office_3 to office_8;{'pd': 'pd', 'package 4': 'p_package_4', 'county 4': 'county_4', 'office 3': 'office_3', 'office 8': 'office_8'};{'pd': 'ap_0', 'p_package_4': 'ap_1', 'county_4': 'ap_2', 'office_3': 'ap_3', 'office_8': 'ap_4'};Gap_2 & GF(ap_3 & F(ap_1 & F(ap_4 & ap_0)))
Stay within county 4 while repeatedly taking package 4 from office 3 to office 8;[]county_4&&[]<>(office_3&&<>(p_package_4&&<>(office_8&&pd)));Gcounty_4 & GF(office_3 & F(p_package_4 & F(office_8 & pd)));['pd', 'p_package_4', 'county_4', 'office_3', 'office_8'];Stay within county_4 while repeatedly taking p_package_4 from office_3 to office_8;{'pd': 'pd', 'package 4': 'p_package_4', 'county 4': 'county_4', 'office 3': 'office_3', 'office 8': 'office_8'};{'pd': 'ap_0', 'p_package_4': 'ap_1', 'county_4': 'ap_2', 'office_3': 'ap_3', 'office_8': 'ap_4'};Gap_2 & GF(ap_3 & F(ap_1 & F(ap_4 & ap_0)))
Ensure you remain in county 4 and keep transferring package 4 from office 3 to office 8;[]county_4&&[]<>(office_3&&<>(p_package_4&&<>(office_8&&pd)));Gcounty_4 & GF(office_3 & F(p_package_4 & F(office_8 & pd)));['pd', 'p_package_4', 'county_4', 'office_3', 'office_8'];Ensure you remain in county_4 and keep transferring p_package_4 from office_3 to office_8;{'pd': 'pd', 'package 4': 'p_package_4', 'county 4': 'county_4', 'office 3': 'office_3', 'office 8': 'office_8'};{'pd': 'ap_0', 'p_package_4': 'ap_1', 'county_4': 'ap_2', 'office_3': 'ap_3', 'office_8': 'ap_4'};Gap_2 & GF(ap_3 & F(ap_1 & F(ap_4 & ap_0)))
Stay confined to county 4 as you repeatedly deliver package 4 from office 3 to office 8;[]county_4&&[]<>(office_3&&<>(p_package_4&&<>(office_8&&pd)));Gcounty_4 & GF(office_3 & F(p_package_4 & F(office_8 & pd)));['pd', 'p_package_4', 'county_4', 'office_3', 'office_8'];Stay confined to county_4 as you repeatedly deliver p_package_4 from office_3 to office_8;{'pd': 'pd', 'package 4': 'p_package_4', 'county 4': 'county_4', 'office 3': 'office_3', 'office 8': 'office_8'};{'pd': 'ap_0', 'p_package_4': 'ap_1', 'county_4': 'ap_2', 'office_3': 'ap_3', 'office_8': 'ap_4'};Gap_2 & GF(ap_3 & F(ap_1 & F(ap_4 & ap_0)))
Avoid intersection 4 until you arrive at street 5;!intersection_4 U street_5;!intersection_4 U street_5;['street_5', 'intersection_4'];Avoid intersection_4 until you arrive at street_5;{'street 5': 'street_5', 'intersection 4': 'intersection_4'};{'street_5': 'ap_0', 'intersection_4': 'ap_1'};!ap_1 U ap_0
Do not enter intersection 4 before reaching street 5;!intersection_4 U street_5;!intersection_4 U street_5;['street_5', 'intersection_4'];Do not enter intersection_4 before reaching street_5;{'street 5': 'street_5', 'intersection 4': 'intersection_4'};{'street_5': 'ap_0', 'intersection_4': 'ap_1'};!ap_1 U ap_0
Stay away from intersection 4 until you get to street 5;!intersection_4 U street_5;!intersection_4 U street_5;['street_5', 'intersection_4'];Stay away from intersection_4 until you get to street_5;{'street 5': 'street_5', 'intersection 4': 'intersection_4'};{'street_5': 'ap_0', 'intersection_4': 'ap_1'};!ap_1 U ap_0
Refrain from visiting intersection 4 until you have reached street 5;!intersection_4 U street_5;!intersection_4 U street_5;['street_5', 'intersection_4'];Refrain from visiting intersection_4 until you have reached street_5;{'street 5': 'street_5', 'intersection 4': 'intersection_4'};{'street_5': 'ap_0', 'intersection_4': 'ap_1'};!ap_1 U ap_0
Remain in park 4 until you take a photo of statue 9;park_4 U (statue_9&&photo);park_4 U (photo & statue_9);['photo', 'park_4', 'statue_9'];Remain in park_4 until you take a photo of statue_9;{'photo': 'photo', 'park 4': 'park_4', 'statue 9': 'statue_9'};{'photo': 'ap_0', 'park_4': 'ap_1', 'statue_9': 'ap_2'};ap_1 U (ap_0 & ap_2)
Stay within park 4 until you capture a picture of statue 9;park_4 U (statue_9&&photo);park_4 U (photo & statue_9);['photo', 'park_4', 'statue_9'];Stay within park_4 until you capture a picture of statue_9;{'photo': 'photo', 'park 4': 'park_4', 'statue 9': 'statue_9'};{'photo': 'ap_0', 'park_4': 'ap_1', 'statue_9': 'ap_2'};ap_1 U (ap_0 & ap_2)
Do not leave park 4 until you have taken a photograph of statue 9;park_4 U (statue_9&&photo);park_4 U (photo & statue_9);['photo', 'park_4', 'statue_9'];Do not leave park_4 until you have taken a photograph of statue_9;{'photo': 'photo', 'park 4': 'park_4', 'statue 9': 'statue_9'};{'photo': 'ap_0', 'park_4': 'ap_1', 'statue_9': 'ap_2'};ap_1 U (ap_0 & ap_2)
Stay in park 4 until you successfully take a picture of statue 9;park_4 U (statue_9&&photo);park_4 U (photo & statue_9);['photo', 'park_4', 'statue_9'];Stay in park_4 until you successfully take a picture of statue_9;{'photo': 'photo', 'park 4': 'park_4', 'statue 9': 'statue_9'};{'photo': 'ap_0', 'park_4': 'ap_1', 'statue_9': 'ap_2'};ap_1 U (ap_0 & ap_2)
Always avoid going to park 5;[]!park_5;G!park_5;['park_5'];Always avoid going to park_5;{'park 5': 'park_5'};{'park_5': 'ap_0'};G!ap_0
Ensure that you never visit park 5;[]!park_5;G!park_5;['park_5'];Ensure that you never visit park_5;{'park 5': 'park_5'};{'park_5': 'ap_0'};G!ap_0
Do not go to park 5 at any time;[]!park_5;G!park_5;['park_5'];Do not go to park_5 at any time;{'park 5': 'park_5'};{'park_5': 'ap_0'};G!ap_0
Refrain from entering park 5 throughout;[]!park_5;G!park_5;['park_5'];Refrain from entering park_5 throughout;{'park 5': 'park_5'};{'park_5': 'ap_0'};G!ap_0
Pick up stack 4 from house 4, proceed to street 2, and remain there;<>(house_4&&<>(p_stack_4&&<>(street_2&&[]street_2)));F(house_4 & F(p_stack_4 & F(street_2 & Gstreet_2)));['house_4', 'street_2', 'p_stack_4'];Pick up p_stack_4 from house_4, proceed to street_2, and remain there;{'house 4': 'house_4', 'street 2': 'street_2', 'stack 4': 'p_stack_4'};{'house_4': 'ap_0', 'street_2': 'ap_1', 'p_stack_4': 'ap_2'};F(ap_0 & F(ap_2 & F(ap_1 & Gap_1)))
Eventually collect stack 4 from house 4 and go to street 2 and stay there;<>(house_4&&<>(p_stack_4&&<>(street_2&&[]street_2)));F(house_4 & F(p_stack_4 & F(street_2 & Gstreet_2)));['house_4', 'street_2', 'p_stack_4'];Eventually collect p_stack_4 from house_4 and go to street_2 and stay there;{'house 4': 'house_4', 'street 2': 'street_2', 'stack 4': 'p_stack_4'};{'house_4': 'ap_0', 'street_2': 'ap_1', 'p_stack_4': 'ap_2'};F(ap_0 & F(ap_2 & F(ap_1 & Gap_1)))
Retrieve stack 4 from house 4, travel to street 2, and continuously remain there;<>(house_4&&<>(p_stack_4&&<>(street_2&&[]street_2)));F(house_4 & F(p_stack_4 & F(street_2 & Gstreet_2)));['house_4', 'street_2', 'p_stack_4'];Retrieve p_stack_4 from house_4, travel to street_2, and continuously remain there;{'house 4': 'house_4', 'street 2': 'street_2', 'stack 4': 'p_stack_4'};{'house_4': 'ap_0', 'street_2': 'ap_1', 'p_stack_4': 'ap_2'};F(ap_0 & F(ap_2 & F(ap_1 & Gap_1)))
Go to house 4 to pick up stack 4 and then proceed to street 2 and stay there;<>(house_4&&<>(p_stack_4&&<>(street_2&&[]street_2)));F(house_4 & F(p_stack_4 & F(street_2 & Gstreet_2)));['house_4', 'street_2', 'p_stack_4'];Go to house_4 to pick up p_stack_4 and then proceed to street_2 and stay there;{'house 4': 'house_4', 'street 2': 'street_2', 'stack 4': 'p_stack_4'};{'house_4': 'ap_0', 'street_2': 'ap_1', 'p_stack_4': 'ap_2'};F(ap_0 & F(ap_2 & F(ap_1 & Gap_1)))
Remain in street 6 until you arrive at intersection 8;street_6 U intersection_8;street_6 U intersection_8;['street_6', 'intersection_8'];Remain in street_6 until you arrive at intersection_8;{'street 6': 'street_6', 'intersection 8': 'intersection_8'};{'street_6': 'ap_0', 'intersection_8': 'ap_1'};ap_0 U ap_1
Stay on street 6 until you reach intersection 8;street_6 U intersection_8;street_6 U intersection_8;['street_6', 'intersection_8'];Stay on street_6 until you reach intersection_8;{'street 6': 'street_6', 'intersection 8': 'intersection_8'};{'street_6': 'ap_0', 'intersection_8': 'ap_1'};ap_0 U ap_1
Remain in street 6 before getting to intersection 8;street_6 U intersection_8;street_6 U intersection_8;['street_6', 'intersection_8'];Remain in street_6 before getting to intersection_8;{'street 6': 'street_6', 'intersection 8': 'intersection_8'};{'street_6': 'ap_0', 'intersection_8': 'ap_1'};ap_0 U ap_1
Continue staying in street 6 until you successfully arrive at intersection 8;street_6 U intersection_8;street_6 U intersection_8;['street_6', 'intersection_8'];Continue staying in street_6 until you successfully arrive at intersection_8;{'street 6': 'street_6', 'intersection 8': 'intersection_8'};{'street_6': 'ap_0', 'intersection_8': 'ap_1'};ap_0 U ap_1
Always avoid picking up box 3;[]!p_box_3;G!p_box_3;['p_box_3'];Always avoid picking up p_box_3;{'box 3': 'p_box_3'};{'p_box_3': 'ap_0'};G!ap_0
Ensure that you never pick up box 3;[]!p_box_3;G!p_box_3;['p_box_3'];Ensure that you never pick up p_box_3;{'box 3': 'p_box_3'};{'p_box_3': 'ap_0'};G!ap_0
Do not pick up box 3 at any time;[]!p_box_3;G!p_box_3;['p_box_3'];Do not pick up p_box_3 at any time;{'box 3': 'p_box_3'};{'p_box_3': 'ap_0'};G!ap_0
Refrain from collecting box 3 under all circumstances;[]!p_box_3;G!p_box_3;['p_box_3'];Refrain from collecting p_box_3 under all circumstances;{'box 3': 'p_box_3'};{'p_box_3': 'ap_0'};G!ap_0
Continuously transport crate 1 from storage 4 to office 2;[]<>(storage_4&&<>(p_crate_1&&<>(office_2&&pd)));GF(storage_4 & F(p_crate_1 & F(office_2 & pd)));['pd', 'office_2', 'storage_4', 'p_crate_1'];Continuously transport p_crate_1 from storage_4 to office_2;{'pd': 'pd', 'office 2': 'office_2', 'storage 4': 'storage_4', 'crate 1': 'p_crate_1'};{'pd': 'ap_0', 'office_2': 'ap_1', 'storage_4': 'ap_2', 'p_crate_1': 'ap_3'};GF(ap_2 & F(ap_3 & F(ap_1 & ap_0)))
Ensure you keep taking crate 1 from storage 4 to office 2 repeatedly;[]<>(storage_4&&<>(p_crate_1&&<>(office_2&&pd)));GF(storage_4 & F(p_crate_1 & F(office_2 & pd)));['pd', 'office_2', 'storage_4', 'p_crate_1'];Ensure you keep taking p_crate_1 from storage_4 to office_2 repeatedly;{'pd': 'pd', 'office 2': 'office_2', 'storage 4': 'storage_4', 'crate 1': 'p_crate_1'};{'pd': 'ap_0', 'office_2': 'ap_1', 'storage_4': 'ap_2', 'p_crate_1': 'ap_3'};GF(ap_2 & F(ap_3 & F(ap_1 & ap_0)))
Repeatedly move crate 1 from storage 4 to office 2;[]<>(storage_4&&<>(p_crate_1&&<>(office_2&&pd)));GF(storage_4 & F(p_crate_1 & F(office_2 & pd)));['pd', 'office_2', 'storage_4', 'p_crate_1'];Repeatedly move p_crate_1 from storage_4 to office_2;{'pd': 'pd', 'office 2': 'office_2', 'storage 4': 'storage_4', 'crate 1': 'p_crate_1'};{'pd': 'ap_0', 'office_2': 'ap_1', 'storage_4': 'ap_2', 'p_crate_1': 'ap_3'};GF(ap_2 & F(ap_3 & F(ap_1 & ap_0)))
Keep delivering crate 1 from storage 4 to office 2 over and over;[]<>(storage_4&&<>(p_crate_1&&<>(office_2&&pd)));GF(storage_4 & F(p_crate_1 & F(office_2 & pd)));['pd', 'office_2', 'storage_4', 'p_crate_1'];Keep delivering p_crate_1 from storage_4 to office_2 over and over;{'pd': 'pd', 'office 2': 'office_2', 'storage 4': 'storage_4', 'crate 1': 'p_crate_1'};{'pd': 'ap_0', 'office_2': 'ap_1', 'storage_4': 'ap_2', 'p_crate_1': 'ap_3'};GF(ap_2 & F(ap_3 & F(ap_1 & ap_0)))
Remain in area 5 at all times;[]area_5;Garea_5;['area_5'];Remain in area_5 at all times;{'area 5': 'area_5'};{'area_5': 'ap_0'};Gap_0
Stay within area 5 continuously;[]area_5;Garea_5;['area_5'];Stay within area_5 continuously;{'area 5': 'area_5'};{'area_5': 'ap_0'};Gap_0
Ensure you always stay in area 5;[]area_5;Garea_5;['area_5'];Ensure you always stay in area_5;{'area 5': 'area_5'};{'area_5': 'ap_0'};Gap_0
Never leave area 5;[]area_5;Garea_5;['area_5'];Never leave area_5;{'area 5': 'area_5'};{'area_5': 'ap_0'};Gap_0
Continuously take a picture of area 51 while also repeatedly visiting charger 4;[]<>(area_51&&photo)&&[]<>charger_4;GF(area_51 & photo) & GFcharger_4;['photo', 'charger_4', 'area_51'];Continuously take a picture of area_51 while also repeatedly visiting charger_4;{'photo': 'photo', 'charger 4': 'charger_4', 'area 51': 'area_51'};{'photo': 'ap_0', 'charger_4': 'ap_1', 'area_51': 'ap_2'};GF(ap_2 & ap_0) & GFap_1
Ensure you keep capturing photos of area 51 while consistently revisiting charger 4;[]<>(area_51&&photo)&&[]<>charger_4;GF(area_51 & photo) & GFcharger_4;['photo', 'charger_4', 'area_51'];Ensure you keep capturing photos of area_51 while consistently revisiting charger_4;{'photo': 'photo', 'charger 4': 'charger_4', 'area 51': 'area_51'};{'photo': 'ap_0', 'charger_4': 'ap_1', 'area_51': 'ap_2'};GF(ap_2 & ap_0) & GFap_1
Repeatedly photograph area 51 while ensuring you also return to charger 4 regularly;[]<>(area_51&&photo)&&[]<>charger_4;GF(area_51 & photo) & GFcharger_4;['photo', 'charger_4', 'area_51'];Repeatedly photograph area_51 while ensuring you also return to charger_4 regularly;{'photo': 'photo', 'charger 4': 'charger_4', 'area 51': 'area_51'};{'photo': 'ap_0', 'charger_4': 'ap_1', 'area_51': 'ap_2'};GF(ap_2 & ap_0) & GFap_1
Persistently take pictures of area 51 while maintaining regular visits to charger 4;[]<>(area_51&&photo)&&[]<>charger_4;GF(area_51 & photo) & GFcharger_4;['photo', 'charger_4', 'area_51'];Persistently take pictures of area_51 while maintaining regular visits to charger_4;{'photo': 'photo', 'charger 4': 'charger_4', 'area 51': 'area_51'};{'photo': 'ap_0', 'charger_4': 'ap_1', 'area_51': 'ap_2'};GF(ap_2 & ap_0) & GFap_1
Do not go to store 4 until you reach street 6, while ensuring you transport package 8 from office 2 to store 4;!store_4 U street_6&&<>(office_2&&<>(p_package_8&&<>(store_4&&pd)));(!store_4 U street_6) & F(office_2 & F(p_package_8 & F(pd & store_4)));['pd', 'street_6', 'p_package_8', 'store_4', 'office_2'];Do not go to store_4 until you reach street_6, while ensuring you transport p_package_8 from office_2 to store_4;{'pd': 'pd', 'street 6': 'street_6', 'package 8': 'p_package_8', 'store 4': 'store_4', 'office 2': 'office_2'};{'pd': 'ap_0', 'street_6': 'ap_1', 'p_package_8': 'ap_2', 'store_4': 'ap_3', 'office_2': 'ap_4'};(!ap_3 U ap_1) & F(ap_4 & F(ap_2 & F(ap_0 & ap_3)))
Avoid visiting store 4 before reaching street 6, as you take package 8 from office 2 to store 4;!store_4 U street_6&&<>(office_2&&<>(p_package_8&&<>(store_4&&pd)));(!store_4 U street_6) & F(office_2 & F(p_package_8 & F(pd & store_4)));['pd', 'street_6', 'p_package_8', 'store_4', 'office_2'];Avoid visiting store_4 before reaching street_6, as you take p_package_8 from office_2 to store_4;{'pd': 'pd', 'street 6': 'street_6', 'package 8': 'p_package_8', 'store 4': 'store_4', 'office 2': 'office_2'};{'pd': 'ap_0', 'street_6': 'ap_1', 'p_package_8': 'ap_2', 'store_4': 'ap_3', 'office_2': 'ap_4'};(!ap_3 U ap_1) & F(ap_4 & F(ap_2 & F(ap_0 & ap_3)))
Refrain from entering store 4 until you arrive at street 6, while delivering package 8 from office 2 to store 4;!store_4 U street_6&&<>(office_2&&<>(p_package_8&&<>(store_4&&pd)));(!store_4 U street_6) & F(office_2 & F(p_package_8 & F(pd & store_4)));['pd', 'street_6', 'p_package_8', 'store_4', 'office_2'];Refrain from entering store_4 until you arrive at street_6, while delivering p_package_8 from office_2 to store_4;{'pd': 'pd', 'street 6': 'street_6', 'package 8': 'p_package_8', 'store 4': 'store_4', 'office 2': 'office_2'};{'pd': 'ap_0', 'street_6': 'ap_1', 'p_package_8': 'ap_2', 'store_4': 'ap_3', 'office_2': 'ap_4'};(!ap_3 U ap_1) & F(ap_4 & F(ap_2 & F(ap_0 & ap_3)))
Stay away from store 4 until you reach street 6, and make sure to move package 8 from office 2 to store 4;!store_4 U street_6&&<>(office_2&&<>(p_package_8&&<>(store_4&&pd)));(!store_4 U street_6) & F(office_2 & F(p_package_8 & F(pd & store_4)));['pd', 'street_6', 'p_package_8', 'store_4', 'office_2'];Stay away from store_4 until you reach street_6, and make sure to move p_package_8 from office_2 to store_4;{'pd': 'pd', 'street 6': 'street_6', 'package 8': 'p_package_8', 'store 4': 'store_4', 'office 2': 'office_2'};{'pd': 'ap_0', 'street_6': 'ap_1', 'p_package_8': 'ap_2', 'store_4': 'ap_3', 'office_2': 'ap_4'};(!ap_3 U ap_1) & F(ap_4 & F(ap_2 & F(ap_0 & ap_3)))
Continuously take pictures of locality 7 while ensuring you never visit park 3;[]<>(locality_7&&photo)&&[]!park_3;GF(locality_7 & photo) & G!park_3;['photo', 'locality_7', 'park_3'];Continuously take pictures of locality_7 while ensuring you never visit park_3;{'photo': 'photo', 'locality 7': 'locality_7', 'park 3': 'park_3'};{'photo': 'ap_0', 'locality_7': 'ap_1', 'park_3': 'ap_2'};GF(ap_1 & ap_0) & G!ap_2
Keep capturing images of locality 7, and avoid going to park 3 at all times;[]<>(locality_7&&photo)&&[]!park_3;GF(locality_7 & photo) & G!park_3;['photo', 'locality_7', 'park_3'];Keep capturing images of locality_7, and avoid going to park_3 at all times;{'photo': 'photo', 'locality 7': 'locality_7', 'park 3': 'park_3'};{'photo': 'ap_0', 'locality_7': 'ap_1', 'park_3': 'ap_2'};GF(ap_1 & ap_0) & G!ap_2
Repeatedly photograph locality 7 while staying away from park 3 entirely;[]<>(locality_7&&photo)&&[]!park_3;GF(locality_7 & photo) & G!park_3;['photo', 'locality_7', 'park_3'];Repeatedly photograph locality_7 while staying away from park_3 entirely;{'photo': 'photo', 'locality 7': 'locality_7', 'park 3': 'park_3'};{'photo': 'ap_0', 'locality_7': 'ap_1', 'park_3': 'ap_2'};GF(ap_1 & ap_0) & G!ap_2
Ensure you keep taking images of locality 7 and never enter park 3;[]<>(locality_7&&photo)&&[]!park_3;GF(locality_7 & photo) & G!park_3;['photo', 'locality_7', 'park_3'];Ensure you keep taking images of locality_7 and never enter park_3;{'photo': 'photo', 'locality 7': 'locality_7', 'park 3': 'park_3'};{'photo': 'ap_0', 'locality_7': 'ap_1', 'park_3': 'ap_2'};GF(ap_1 & ap_0) & G!ap_2
Continuously eventually visit charging station 9 as you keep taking crate 4 from warehouse 5 to mall 4;[]<>charging_station_9&&[]<>(warehouse_5&&<>(p_crate_4&&<>(mall_4&&pd)));GFcharging_station_9 & GF(warehouse_5 & F(p_crate_4 & F(mall_4 & pd)));['p_crate_4', 'pd', 'warehouse_5', 'charging_station_9', 'mall_4'];Continuously eventually visit charging_station_9 as you keep taking p_crate_4 from warehouse_5 to mall_4;{'crate 4': 'p_crate_4', 'pd': 'pd', 'warehouse 5': 'warehouse_5', 'charging station 9': 'charging_station_9', 'mall 4': 'mall_4'};{'p_crate_4': 'ap_0', 'pd': 'ap_1', 'warehouse_5': 'ap_2', 'charging_station_9': 'ap_3', 'mall_4': 'ap_4'};GFap_3 & GF(ap_2 & F(ap_0 & F(ap_4 & ap_1)))
